temp,GP_DW,DRratio_DW,NPratio_DW,DRperc_DW,NPperc_DW,treatment_type
2,1.582515937,0.2086482126,0.7913517874,20.86482126,79.13517874,control
5,1.592242268,0.3746422881,0.6253577119,37.46422881,62.53577119,control
10,2.705093459,0.5075758845,0.4924241155,50.75758845,49.24241155,control
15,2.864024543,0.829615059,0.170384941,82.9615059,17.0384941,control
20,4.434447332,0.8562001297,0.1437998703,85.62001297,14.37998703,control
25,6.356064819,0.7440548101,0.2559451899,74.40548101,25.59451899,control
30,8.266546918,0.7465323918,0.2534676082,74.65323918,25.34676082,control
2,2.844125968,0.1557361466,0.8442638534,15.57361466,84.42638534,treatment
5,1.688121333,0.2334632849,0.7665367151,23.34632849,76.65367151,treatment
10,4.019452133,0.3752937223,0.6247062777,37.52937223,62.47062777,treatment
15,5.071942538,0.496318954,0.503681046,49.6318954,50.3681046,treatment
20,5.008103922,0.7481159102,0.2518840898,74.81159102,25.18840898,treatment
25,5.151149027,0.9125565975,0.08744340247,91.25565975,8.744340247,treatment
30,8.129728214,0.8326979475,0.1673020525,83.26979475,16.73020525,treatment