temp,DRperc_DW,NPperc_DW,DRperc_Chl,NPperc_Chl,treatment_type
2,20.86482126,79.13517874,20.77876077,20.77876077,control
5,37.46422881,62.53577119,37.87804931,37.87804931,control
10,50.75758845,49.24241155,52.20049721,52.20049721,control
15,82.9615059,17.0384941,83.98165504,83.98165504,control
20,85.62001297,14.37998703,84.27608783,84.27608783,control
25,74.40548101,25.59451899,74.2463422,74.2463422,control
30,74.65323918,25.34676082,75.2317693,75.2317693,control
2,15.57361466,84.42638534,15.23676532,15.23676532,treatment
5,23.34632849,76.65367151,22.7230669,22.7230669,treatment
10,37.52937223,62.47062777,37.65500052,37.65500052,treatment
15,49.6318954,50.3681046,49.49282855,49.49282855,treatment
20,74.81159102,25.18840898,75.04319027,75.04319027,treatment
25,91.25565975,8.744340247,91.09942439,91.09942439,treatment
30,83.26979475,16.73020525,85.33248349,85.33248349,treatment